TICKER,DATE,CLOSE,OPEN,HIGH,LOW,VOLUME
VN30-IDX,20161001,565.71,568.01,570.25,563.05,38108214
VN30-IDX,20160930,568.27,570.7,572.17,566.81,44770586
VN30-IDX,20160929,571.69,575.37,579.44,571.69,64086980
VN30-IDX,20160928,577.11,573.58,579.97,572.16,42708337
VN30-IDX,20160927,575.16,582.87,583.29,575.16,60286400
VN30-IDX,20160926,582.37,578.45,582.82,577.46,37798290
VN30-IDX,20160925,578.24,576.64,579.84,571.71,57545690
VN30-IDX,20160924,577.31,579.84,584.36,577.31,57556460
VN30-IDX,20160923,580.6,577.77,581.74,577.25,51277670
VN30-IDX,20160922,577.97,580.01,580.67,575.68,38899605
VN30-IDX,20160921,579.95,582.85,587.78,579.95,65259080
VN30-IDX,20160920,581.95,587.13,587.92,581.95,116320691
VN30-IDX,20160919,586.47,588.62,590.98,586.37,68950503
VN30-IDX,20160918,583.79,582.95,585.31,581.4,52578363
VN30-IDX,20160917,583.02,586.45,588.05,581.72,60899224
VN30-IDX,20160916,587.09,586.63,587.93,584.06,90894235
VN30-IDX,20160915,583.89,583.93,588.46,582.54,49269325
VN30-IDX,20160914,583.77,582.95,583.79,580.19,39057337
VN30-IDX,20160913,581.25,582.45,585.48,580.52,39949174
VN30-IDX,20160912,582.54,583.29,585.67,582.08,53541240
VN30-IDX,20160911,582.6,582.6,587.91,582.31,55768420
VN30-IDX,20160910,580.94,579.08,583.73,577.53,44022270
VN30-IDX,20160909,579.11,582.26,582.43,578.55,48774050
VN30-IDX,20160908,579.17,575.95,579.61,573.27,48621717
VN30-IDX,20160907,572.99,570.88,576.3,570.88,45791030
VN30-IDX,20160906,570.66,576.98,577.74,570.66,45988550
VN30-IDX,20160905,577.71,574.12,577.73,572.17,34788584
VN30-IDX,20160904,573.02,580.63,583.87,573.02,73168802
VN30-IDX,20160903,578.87,571.54,581.76,570.14,66192570
VN30-IDX,20160902,573.78,579.62,580.05,573.47,76277860
VN30-IDX,20160901,574.37,567.87,576.63,567.87,73633710
VN30-IDX,20160831,567.51,566.68,568.97,565.25,77386990
