TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
HNX-IDX,20170517,91.2802,91.9078,90.7017,91.9078,60987942
VN-IDX,20170516,725.84,727.86,725.03,725.03,283900810
HNX-IDX,20170516,91.1026,91.8974,91.0412,91.2802,85492157
VN-IDX,20170515,725.25,726.19,723.18,725.35,225167770
HNX-IDX,20170515,90.3884,91.126,90.2697,91.1026,67011548
VN-IDX,20170512,724.63,726.4,724.41,725.37,175819610
HNX-IDX,20170512,89.9035,90.5083,89.9007,90.3884,53430308
VN-IDX,20170511,724.84,726.82,723.39,724.99,184413680
HNX-IDX,20170511,90.1646,90.4934,89.9017,89.9035,45151093
VN-IDX,20170510,721.94,727.52,721.81,724.31,207030020
HNX-IDX,20170510,90.3737,90.8461,89.694,90.1646,57600764
VN-IDX,20170509,718.86,722.11,716.95,722.11,208655200
HNX-IDX,20170509,89.134,90.3897,88.8439,90.3737,56214435
VN-IDX,20170508,720.61,720.61,717.98,718.86,200726210
HNX-IDX,20170508,89.7132,89.8121,88.8817,89.134,44514702
VN-IDX,20170505,720.39,722.02,719.86,720,179556590
HNX-IDX,20170505,89.5224,90.0061,89.2385,89.7132,46518420
VN-IDX,20170504,717.98,723.22,717.98,722.02,199813840
HNX-IDX,20170504,89.823,90.0289,89.1171,89.5224,51345285
VN-IDX,20170503,718.7,719.54,716.66,719.54,169202320
HNX-IDX,20170503,89.5372,89.9943,89.0632,89.823,47941506
VN-IDX,20170428,715.9,718.54,713.83,717.73,175246010
HNX-IDX,20170428,89.3155,89.7702,88.3027,89.5372,49494466
VN-IDX,20170427,711.74,716.53,710.04,716.53,163391220
HNX-IDX,20170427,88.5541,89.5399,88.362,89.3155,54664772
VN-IDX,20170426,706.36,710.04,706.32,710.04,133335260
HNX-IDX,20170426,87.8584,88.8425,87.5509,88.5541,47809096
VN-IDX,20170425,709,709.81,706.04,707.58,116892890
HNX-IDX,20170425,88.4173,88.533,87.482,87.8584,56297687
VN-IDX,20170424,711.6,712.77,709.39,709.39,129819360
HNX-IDX,20170424,88.8725,88.9251,88.4033,88.4173,42916184
VN-IDX,20170421,712.77,715.08,711.08,712.41,132810730
HNX-IDX,20170421,88.4655,89.0581,88.3509,88.8725,45377360
VN-IDX,20170420,716.76,716.77,712.66,712.66,125260870
HNX-IDX,20170420,89.114,89.4673,88.4441,88.4655,41138186
VN-IDX,20170419,714.87,716.77,714.02,716.77,142083700
HNX-IDX,20170419,89.1239,89.4463,88.8045,89.114,48475640
VN-IDX,20170418,708.64,714.93,705.55,714.93,156875940
HNX-IDX,20170418,88.2969,89.2154,87.4638,89.1239,60481079
VN-IDX,20170417,718.93,721.78,710.83,710.83,154480780
HNX-IDX,20170417,89.6359,90.3149,88.2969,88.2969,58519606
VN-IDX,20170414,722.47,724.35,714.13,718.45,183219950
HNX-IDX,20170414,90.0257,90.1465,88.5576,89.6359,56378172
VN-IDX,20170413,725.54,727.34,723.88,724.35,168095740
HNX-IDX,20170413,89.9106,90.3935,89.6981,90.0257,48909368
VN-IDX,20170412,731.62,732.87,724.48,725.58,213497770
HNX-IDX,20170412,90.6342,90.9083,89.528,89.9106,53870132
VN-IDX,20170411,730.15,732.24,729.87,731.33,196925240
HNX-IDX,20170411,90.4341,91.2131,90.4285,90.6342,78491636
VN-IDX,20170410,728.71,730.9,727.77,729.87,144394030
HNX-IDX,20170410,90.1472,90.7779,90.1142,90.4341,65949881
VN-IDX,20170407,721.85,727.95,720.28,727.95,189749220
HNX-IDX,20170407,90.7023,90.8642,89.669,90.1472,42113359
VN-IDX,20170405,724.89,726.03,722.49,723.22,196695940
HNX-IDX,20170405,91.16,91.47,90.6,90.7,47733640
VN-IDX,20170404,723.7,724.67,722.38,724.14,187113780
HNX-IDX,20170404,90.92,91.76,90.73,91.16,54453737
VN-IDX,20170403,723.02,724.37,721.58,722.38,177622570
HNX-IDX,20170403,90.8183,91.0313,90.154,90.9199,39401457
VN-IDX,20170331,725.97,726.67,722.31,722.31,181948510
HNX-IDX,20170331,91.1219,91.4729,90.4377,90.8183,40604101
VN-IDX,20170330,721.87,725.91,720.47,723.86,180387150
HNX-IDX,20170330,90.6663,91.2773,90.6663,91.1219,37337038
VN-IDX,20170329,719.08,721.92,718.37,720.47,168287240
HNX-IDX,20170329,90.5431,90.863,89.9943,90.6663,40140083
VN-IDX,20170328,724.37,725,718.66,719.26,186619270
HNX-IDX,20170328,91.3806,91.4443,90.4706,90.5431,43219777
VN-IDX,20170327,723.23,725.57,721.41,723.52,207368740
HNX-IDX,20170327,91.3721,92.0615,90.876,91.3806,56222804
VN-IDX,20170324,719.56,724.36,719.56,722.14,200239900
HNX-IDX,20170324,89.8974,91.3833,89.8631,91.3721,66088028
VN-IDX,20170323,712.61,719.56,712.61,719.56,176832200
HNX-IDX,20170323,89.7674,89.919,89.2388,89.8974,35439621
VN-IDX,20170322,715.78,720.68,712.94,712.94,254603740
HNX-IDX,20170322,90.1256,90.6927,89.7255,89.7674,64880023
VN-IDX,20170321,717.03,718.8,714.78,716.18,201542690
HNX-IDX,20170321,89.0286,90.1275,89.0321,90.1256,48174880
VN-IDX,20170320,711.44,717.54,710.54,715.07,158389540
HNX-IDX,20170320,88.3755,89.3058,88.2968,89.0286,46865718
VN-IDX,20170317,715.82,717.1,710.54,710.54,235368610
HNX-IDX,20170317,87.968,89.2201,87.9794,88.3755,54820513
VN-IDX,20170316,712.56,715.03,710.66,714.92,162211940
HNX-IDX,20170316,87.4536,88.1234,86.9649,87.968,38346689
VN-IDX,20170315,715.63,716.49,713.14,713.14,129780600
HNX-IDX,20170315,87.1603,87.6412,86.7945,87.4536,37617219
VN-IDX,20170314,709.9,716.49,709.29,714.71,125967610
HNX-IDX,20170314,87.0157,87.4401,86.8982,87.1603,41372903
VN-IDX,20170313,711.93,712.63,707.63,710.17,128759590
HNX-IDX,20170313,88.133,88.1486,86.9776,87.0157,42761462
VN-IDX,20170310,715.85,716.81,712.21,712.21,185768420
HNX-IDX,20170310,87.7162,88.3137,87.5963,88.133,46225073
VN-IDX,20170309,715.86,718.23,714.96,715.8,185848150
HNX-IDX,20170309,87.5318,88.243,87.3513,87.7162,40883373
VN-IDX,20170308,715.04,718.78,713.89,716.6,162925560
HNX-IDX,20170308,86.6984,88.3813,86.3914,87.5318,45533306
VN-IDX,20170307,716.46,716.95,714.27,716.54,176410350
HNX-IDX,20170307,86.5533,86.8573,86.0891,86.6984,46809835
VN-IDX,20170306,714.61,718.04,712.62,716.29,156454410
HNX-IDX,20170306,86.6503,87.0504,86.2958,86.5533,44889349
VN-IDX,20170303,708.23,712.62,705.83,712.62,163476620
HNX-IDX,20170303,86.6054,86.7667,85.6902,86.6503,48706323
VN-IDX,20170302,712.68,713.53,707.51,707.51,164954280
HNX-IDX,20170302,86.6116,87.0054,86.2803,86.6054,52103460
